Name,Height
Anthony Attenborough,5-10
James Curran,5-9
Charles Cusumano,5-4
David Fayngersh,5-10
Michael Graham,5-10
Eslam Hussein,5-7
Maxim Kleyer,5-10
William Kwan,5-8
Julian Lopez,5-8
Dylan Martinson,6-1
Hassan Matar,5-10
David Poggioli,6-1
Elliot Radov,6-1
Josiah Rivera,5-8
Sam Rozenfeld,5-7
Nicholas Tartaglione,6-0
Wood-by Paulemont,5-9
Richard Reyes,5-6
Jeremy Sapeg,5-10
Alex Winter,6-0
Ethan Abramov,6-1
Youssef  Elkhouly,6-3
Ramiel Fayngersh,5-11
Peter Gavroff,6-4
Eric Goldshteyn,5-8
Michael Guzman,5-10
Duncan Huie,5-9
Jordan Lin,5-9
Bennett Maczka,6-4
Eli Meron,6-0
Vyacheslav Palyura,5-9
Sami Rahman,5-10
Luca Shapiro,5-9
Gregory Terentyev,5-7
Valentyn Titarenko,5-11
Leonardo Valdivia,5-8
Daniel Vasilkoff,5-11
Daniel Yadgarov,6-0
Samuel Yakubov,5-8
Aziz Abdusamiev,-
Ryan Badre-Hume,6-3
Max Bratkovsky,6-0
Aaron Brijbukhan,-
Zurab Chkhartishvili,-
Carlos Garcia-Nunez,-
Daniel Kalinin,-
Michael Kravets,-
Nicholai Krylyuk,-
Ian Lichaniu,-
Allen Mardakhayev,-
Joseph Scarpetta,5-5
Mujibar Shaad,-
Isaac Zambrano,6-2
Ryan Boeding,6-2
Noah Boyd,5-8
Jaxon Bradburn,-
Johan Cue Carrillo,6-1
Trevor Danner,6-1
Ondrej Dusa,-
Mattia Giurgevich,6-4
Lance Godard,-
Eric Hansson,6-0
Tait Harvey,6-1
Nicholas Heye,5-11
Elliott Irwin,6-2
Piotr Kowalczyk,-
Bennet Loving,-
Matheo Mateos-Mongelos,6-1
David Molina-Fregenal,5-10
Jake Noble,5-10
Jose Ochoa,5-9
Gavin Schulte,6-1
Adam Szczerba,6-4
Polat Tasbasi,-
Max Wetteland,-
Nick Williams,-
Patryk Winiatowski,6-0
Caden Brooks,6-1
Kirk Brotherton,6-0
Owen Brubaker,6-3
DaVante Carey,6-0
Chance Conde,6-1
Patrick Cramer,6-2
Samuel Davey,5-11
Christian Davidson,5-8
Mason Enthoven,5-7
Miles Fleischer,5-3
Leo Gandaria-Hernandez,6-0
Kadence Griffin,5-10
Colton Grimes,6-7
Abram Hagedorn,6-1
Ethan Hanson,6-3
Come Jaegle,6-0
Nick Khatkovyy,5-8
Wyatt Kurtz,5-5
Caleb Law,6-0
Jackson Lustig,6-1
Neill Mauss,6-1
Xander McWhorter,5-11
Spencer Meyers,6-1
Archie  Minto,5-11
Finn Moseley,6-0
Joey Ovanic,6-0
Filipe Pinheiro,6-1
Nathan Pollard,6-2
Patryk Rozenek,6-3
Arthur Souza,5-9
Matthew Stooke,6-4
Michael Stooke,6-0
Noah Tague,6-2
Mario Perez Torrado,5-11
Preston Troyer,6-0
Tyson Upton,6-7
Alireza Yavari,5-10
Alessandro Alvarez,5-9
Giovanni Alvarez,5-9
Caleb Baron,5-8
Thomas Breen,6-2
Tyler Canteen,5-6
Samuel De Leon,5-5
Ryan Gallacher,6-1
Benjamin Gomez,6-1
AJ Guevara,5-6
Jack Hill,6-3
Brendan McDevitt,6-0
Tyler Moore,6-2
Joe Swede,6-3
Josh Yee,6-0
Ian Ziomek,5-9
David Butler,5-9
Ross Caimano,5-10
Ethan Cairo,5-9
Joseph  Campise,6-1
Andrew Capella,5-9
Matt Cleveland,5-8
Eli Cohen,6-1
Mason DeLisio,5-11
Anthony Genovese,6-0
Brendan Heaney,5-11
James  Llewellyn,5-6
Cosmo Martinelli,6-2
Logan Oathout,6-0
Lukas Oathout,6-1
Daniel Oh,5-8
Colin Ringwood,5-9
David Scott,5-10
Jonathan  Stanzione,6-0
Gavin Weseman,6-3
Benjamin Beldner,6-1
Brandon Berger,6-1
Ryan Board,5-11
Keegan Chatham,5-10
Zachary Ciriaco,5-6
Ryan Cohn,5-10
Nathan DeGuzman,5-9
Christopher Egan,5-6
Christopher Ghim,6-0
Brian Harding,6-4
Jackson Homan,6-0
Sandon Karinsky,5-10
George Kipshidze,6-1
Eric Kroon,6-5
Elijah Lanfear,6-2
Xiaoyu Lin,6-1
Ryan Maierle,6-3
William Maurer,5-10
Justin Meyn,6-2
Liam Murphy,6-1
Oisin O'Sullivan,5-11
Matthew Palguta,6-2
Travis Phillips,6-1
Robert Reining,6-2
Henry Shemet,6-3
Jake  Vecchio,5-8
Matthew Czubachowski,6-0
Nicholas Dolan,6-1
Caleb Ferns,6-0
Nicholas Griffith,6-4
Joseph Guiliano,6-0
Kieran Hassard,6-0
Anthony Laite,5-9
Drew MacDonald,6-0
Kyle Morken,6-1
Peter Vanderwerf,6-3
