Name,Height
Ray Rodriguez,5-7
Joseph Gianfranco Teves,5-5
Chris  Mata,5-3
Emmanuel Oladosu,5-10
Jimmy Evans,5-7
Alain Abreu Esteva,6-0
Neithan Pilay,5-10
Christian Agudo,5-7
Andrew Figueroa,5-11
Almir Pepic,6-2
Stephen Daly,5-9
Micah Rossman,5-8
Maxwell Law,5-9
Benjamin Chen,5-6
Sebastian Rodriguez,5-8
Christian Perea,6-1
Matthew Vong,5-9
Evan Wandersee,5-8
Logan Ramos,5-10
Daniel Gonzalez Verdejo,5-8
Jaden Lamarre,6-3
Jeferson Avila-Macancela,6-0
Akashdeep Singh,6-4
Alex Bridgelall,6-0
Kensley Jean Gilles,6-2
Kyle Barriffe-Johnson,6-7
Steven Ajazi,6-4
Wen Cheung,5-9
Ari Osmanaj,6-3
Jackson  Newcomb,6-1
Aleksandr  Howard,6-4
Jack Centeno,6-1
Kairos Liang,5-11
Peter Gavroff,6-4
Zachary Yao,6-0
Ryan Oommen,5-9
Juancarlos  Henriquez,6-0
Naoki Tani,5-7
Gorton Law,5-10
David Tang,5-9
Haoxin Hu,6-5
Argjend Osmanaj,6-2
Davidson Claros,6-1
Brandon  Green,6-0
Reng  Chen,5-9
Edwin Fierros Gaytan,5-8
Anirudha Das,5-8
Prabodh KC,5-11
Christ Noel,6-0
Ricky  Li,6-0
David Reyes Galvez,5-7
Antonio Oliveira-Nurse,6-3
Alex Abraham,6-1
Cristian  Canela,6-0
Kyrylo Vysotskyy,6-0
Carlos Abreu,5-8
Cody Ramsey,5-11
Adrian Budhu,6-2
Jerome Hodges,6-1
Louis Caiola,6-0
Isaac Akindipe,6-2
Patrick Mateo,5-6
Kayshaun Higgs,5-6
Kadeem Hagley,6-3
Sergio Aguado,5-10
Brandon Yeh,5-7
Nick Yao,5-9
Ted Kim,6-0
Cooper Moran,6-1
Kyle Foley,6-3
Jimmy Chang,6-2
Andrew Estiverne,6-0
Lucas George,6-5
Jon Domingo,6-0
Austin White,6-3
Admir Cekic,6-0
Annes Deljanin,6-7
Muhammad Al-Amine Mbaye,6-2
Demetri Gournelos,6-1
Jon Pflueger,6-6
Onyeka Onaga,6-3
Matisse Lee-Maarek,6-6
Ahmed Algendy,6-1
Glenver Stuart,6-1
Vincent Agokei,6-3
Austinson Cooke,6-5
Marvin Mondesir,5-10
Alexis Ramirez,5-8
George Molina,6-0
Stanley  Sanchez,5-8
Brian Pintos,5-10
"David Heyliger, Jr.",6-1
Cameron Gray,6-0
Nathan Goh,6-4
Keau Thompson,6-4
Xander Pink,5-7
Mason Connor,6-1
Griffin Satterfield,6-7
Trevor Phillips,6-6
Vanis Buckholz,6-6
Lucas Machado,6-6
Rodney Wallace,6-6
Lukas Pytlak,6-2
Ryan Bartz,6-5
Eyal Rawitz,6-6
Dyer Ball,6-6
Marty Canavan,6-5
Wil McPhillips,6-4
Aaron Hernandez,6-3
Tinaishe Ndavazocheva,6-6
Braydon Savitski-Lynde,6-7
Patrick Rogers,6-7
Will  Patterson,6-10
Mateusz Karpow,6-9
Peter  Zurawski,6-6
