Name,Height
Crystal Saw,5-4
Yisneily Morales,5-1
Sarah Sellami,5-8
Marie Claire Hurtado,-
Garyana Altidor,5-1
Julianna Carrasco,5-8
Cheyenne Gray-Taitt,5-4
Andrea Richino,5-8
Teonnie Blake,5-3
Kamya Hayes,5-4
Keyanna Irving,5-7
Silvia Chen,5-9
Jalena Baker,5-5
Cherub Autar,5-6
Jachimma Onwuamaegbu,6-0
Kai-Marie Sammy,5-10
Shamonie Miller,5-2
Jasmine  Vega,5-1
Samantha Panameno,5-5
Andrea  Wright,5-8
Madison Plaza,5-7
Lissenny Florentino,5-6
Nadaysia Nivar,5-7
Alicia Gumbs,5-5
Devina  Luckhoo,5-3
Tyler Dazey,5-7
Samara Correa,5-0
Genesis Sigaran,5-2
Jeliver Jimenez,5-5
Mariali Sosa,5-4
Natalie Mora,5-4
Nicole Rodriguez,5-10
Nyla  Rivera,5-3
Sahara Ramos,5-4
Rashel Torres,5-1
Marisabel Pujols,5-4
Justine Pomales,5-3
Virginia Carrasco,5-7
Nicole  Rosas,5-4
Brianna Rodriguez,5-2
Maynee De Los Santos,5-4
Emely Nunez,5-6
Kiana Castillo,5-10
Breanna Kimbrough,5-9
Zouera Sofiani,5-5
Nicole Santos,5-6
Aichata Kone,5-10
Nayely Rodriguez,5-6
Nahara Lopez,5-6
Despina Boudouris,5-5
Alexis Deodat,5-10
Anjeline Arnakis,5-11
Christina Franco,5-9
Elena Leung,5-8
Alicia Cervera,5-11
Lindsay Osterhoudt,6-1
Elizabeth Cerullo,5-8
Jayna Marie Lorenzo,5-8
Kendall Conrad,5-11
Sarah Munn,5-3
Isabella Anzalone,5-8
Marah  Zenner,5-5
Rylie Harris,5-5
Sophia Kruczko,6-3
Lauren Posa,6-1
Abigail LeVines,5-11
Mikayla  Kline,5-10
Jada Suguturaga,6-1
Madelyn Eden,6-2
Janvier Buggs,5-6
Amelia Fitzpatrick,5-9
Lexi Basler,5-4
Ella Wicker,5-5
Brooke Singleton,5-4
Meredith Dixon,6-1
Colby Stempkowski,6-0
Bennett Daniels,5-11
Jordan Norwood,5-10
Molly Boyd,6-3
Jordan Berglin,5-10
Cecilia Robert,5-7
Maeson Peterson,6-1
Lainee Mack,5-8
Cassidy Bloom,5-9
Gracie Fleming,5-11
Rory Schuler,5-5
Mallory Barash,5-10
Brooke Wroten,5-9
Kari Mercer,5-6
Gyöngyvér  Araczki,5-10
Anna Sommer,6-1
Sadie McKay,5-9
Sophie Meredith,5-8
Kaitlyn  Rodriguez,5-10
Alisha Pitt,6-0
Tucker Patterson,5-10
Sophia Hoffman,5-8
Lexi Rogers,5-9
Alli Bishop,6-0
Emily Lammers,5-9
Cat Bodick,6-0
Izabella De Lima,5-1
Kaitlyn Houck,5-3
Kelly Gaston,5-7
Natalie Acevedo,5-8
Salma Villa  Morales,5-2
Reagan  Irons,5-9
Madison Eckley,5-5
Emma Kelly,5-9
Evie Jane Rembold,5-10
Ellen Cunningham,5-9
Maggie Rafferty,5-7
Sabrina Valentin,5-8
Sherian Horner,5-11
Alyssa Daley,6-3
Myka Costanzo,5-4
Kyleigh McDermit,5-11
